X (мм),Y (мм)
97.45133333333334,241.46933333333334
77.63933333333334,234.27266666666668
115.23133333333334,234.10333333333332
98.12866666666667,226.99133333333333
106.59533333333333,224.95933333333335
89.74666666666667,223.43533333333335
112.60666666666667,220.98
86.614,219.71
77.55466666666666,217.50866666666667
84.074,213.44466666666668
120.22666666666667,213.19066666666666
18.372666666666667,211.66666666666666
164.76133333333334,211.24333333333334
99.48333333333333,210.73533333333333
116.078,210.566
84.836,206.58666666666667
112.776,205.14733333333334
35.13666666666667,204.47
50.88466666666667,201.50666666666666
108.458,198.79733333333334
90.76266666666666,198.71266666666668
149.86,196.51133333333334
101.00733333333334,195.834
87.29133333333334,194.818
56.134,194.31
105.918,193.20933333333335
73.99866666666667,181.27133333333333
126.91533333333334,181.102
97.70533333333333,172.04266666666666
26.67,169.07933333333332
179.49333333333334,167.55533333333332
42.07933333333333,164.42266666666666
166.28533333333334,163.322
137.41400000000002,161.12066666666666
68.15666666666667,160.44333333333333
95.758,160.18933333333334
115.062,158.15733333333333
48.006,138.59933333333333
99.73733333333334,138.09133333333332
75.09933333333333,137.668
120.142,136.31333333333333
165.608,134.28133333333332
144.18733333333333,131.74133333333333
26.924,131.318
93.30266666666667,116.92466666666667
109.81266666666667,116.75533333333334
79.16333333333334,115.65466666666667
123.52866666666667,110.236
52.15466666666667,108.28866666666667
135.80533333333332,108.03466666666667
101.17666666666666,104.05533333333334
26.924,100.584
146.64266666666666,100.49933333333334
87.46066666666667,99.31400000000001
101.6,98.12866666666667
101.68466666666667,96.85866666666666
93.04866666666666,96.85866666666666
117.94066666666667,96.266
93.47200000000001,95.67333333333333
72.22066666666667,93.13333333333334
86.868,92.62533333333333
113.03,92.456
87.71466666666667,91.86333333333333
112.268,91.52466666666666
161.45933333333335,91.27066666666667
65.44733333333333,87.884
129.62466666666666,86.95266666666667
84.24333333333334,86.36
85.344,86.106
178.054,84.41266666666667
117.348,82.63466666666667
115.99333333333334,82.38066666666667
100.66866666666667,81.19533333333334
84.66666666666667,80.264
115.40066666666667,76.962
139.86933333333334,76.79266666666666
116.586,76.53866666666667
82.46533333333333,75.35333333333334
88.56133333333334,71.28933333333333
58.33533333333333,70.69666666666667
110.91333333333334,69.85
85.852,67.90266666666666
95.504,66.71733333333333
103.632,66.63266666666667
108.54266666666666,63.58466666666667
95.92733333333334,57.57333333333334
50.88466666666667,51.816
146.38866666666667,44.36533333333333
47.836666666666666,34.544
152.14600000000002,20.235333333333333
