X (мм),Y (мм),Группа,Фигура замкнута,Потенциал (В),Порядок
101.68466666666669,96.85866666666666,G1,Yes,0.0,21
93.472,95.67333333333332,G1,Yes,0.0,20
87.71466666666667,91.86333333333332,G1,Yes,0.0,31
112.268,91.52466666666666,G1,Yes,0.0,22
85.344,86.106,G1,Yes,0.0,30
115.99333333333334,82.38066666666667,G1,Yes,0.0,23
84.66666666666667,80.264,G1,Yes,0.0,29
115.40066666666668,76.962,G1,Yes,0.0,24
88.56133333333334,71.28933333333333,G1,Yes,0.0,28
110.91333333333334,69.85,G1,Yes,0.0,25
95.504,66.71733333333333,G1,Yes,0.0,27
103.632,66.63266666666667,G1,Yes,0.0,26
101.6,98.12866666666667,G2,Yes,2.0,39
93.04866666666666,96.85866666666666,G2,Yes,2.0,38
86.868,92.62533333333332,G2,Yes,2.0,37
113.03,92.456,G2,Yes,2.0,40
84.24333333333334,86.36,G2,Yes,2.0,35
117.348,82.63466666666667,G2,Yes,2.0,41
116.586,76.53866666666667,G2,Yes,2.0,42
82.46533333333333,75.35333333333334,G2,Yes,2.0,34
85.852,67.90266666666666,G2,Yes,2.0,33
108.54266666666666,63.58466666666667,G2,Yes,2.0,43
95.92733333333334,57.57333333333334,G2,Yes,2.0,32
101.17666666666666,104.05533333333334,G3,No,3.0,50
87.46066666666667,99.314,G3,No,3.0,49
117.94066666666669,96.266,G3,No,3.0,51
72.22066666666667,93.13333333333334,G3,No,3.0,48
65.44733333333333,87.884,G3,No,3.0,47
129.62466666666666,86.95266666666667,G3,No,3.0,52
139.86933333333334,76.79266666666666,G3,No,3.0,53
58.33533333333333,70.69666666666667,G3,No,3.0,46
50.88466666666667,51.816,G3,No,3.0,45
146.3886666666667,44.36533333333333,G3,No,3.0,54
47.836666666666666,34.544,G3,No,3.0,44
152.14600000000002,20.235333333333333,G3,No,3.0,55
93.30266666666668,116.92466666666668,G4,No,4.0,59
109.81266666666669,116.75533333333334,G4,No,4.0,60
79.16333333333334,115.65466666666669,G4,No,4.0,58
123.52866666666668,110.236,G4,No,4.0,61
52.15466666666667,108.28866666666669,G4,No,4.0,57
135.80533333333332,108.03466666666668,G4,No,4.0,62
26.924,100.584,G4,No,4.0,56
146.64266666666666,100.49933333333334,G4,No,4.0,63
161.45933333333335,91.27066666666668,G4,No,4.0,64
178.054,84.41266666666667,G4,No,4.0,65
48.006,138.59933333333333,G5,No,5.0,67
99.73733333333334,138.09133333333332,G5,No,5.0,69
75.09933333333333,137.668,G5,No,5.0,68
120.142,136.31333333333333,G5,No,5.0,70
165.608,134.28133333333332,G5,No,5.0,72
144.18733333333333,131.74133333333333,G5,No,5.0,71
26.924,131.318,G5,No,5.0,66
26.67,169.07933333333332,G6,No,6.0,73
179.49333333333334,167.55533333333332,G6,No,6.0,80
42.07933333333333,164.42266666666666,G6,No,6.0,74
166.28533333333334,163.322,G6,No,6.0,79
137.41400000000002,161.12066666666666,G6,No,6.0,78
68.15666666666667,160.44333333333333,G6,No,6.0,75
95.758,160.18933333333334,G6,No,6.0,76
115.062,158.15733333333333,G6,No,6.0,77
18.372666666666667,211.66666666666663,G7,No,7.0,81
144.76133333333334,211.2433333333333,G7,No,7.0,89
35.13666666666667,204.47,G7,No,7.0,82
50.88466666666667,201.50666666666663,G7,No,7.0,83
129.86,196.5113333333333,G7,No,7.0,88
56.134,194.31,G7,No,7.0,84
73.99866666666667,181.27133333333333,G7,No,7.0,85
126.91533333333334,181.102,G7,No,7.0,87
97.70533333333331,172.04266666666666,G7,No,7.0,86
97.45133333333334,241.4693333333333,G8,Yes,8.0,93
77.63933333333334,234.27266666666668,G8,Yes,8.0,92
115.23133333333334,234.10333333333327,G8,Yes,8.0,94
77.55466666666666,217.50866666666667,G8,Yes,8.0,91
120.22666666666667,213.19066666666663,G8,Yes,8.0,95
87.29133333333334,194.818,G8,Yes,8.0,90
105.918,193.20933333333332,G8,Yes,8.0,96
98.12866666666667,226.99133333333333,G9,Yes,9.3,103
106.59533333333331,224.95933333333332,G9,Yes,9.3,104
89.74666666666667,223.43533333333332,G9,Yes,9.3,102
112.60666666666668,220.98,G9,Yes,9.3,105
86.614,219.71,G9,Yes,9.3,101
84.074,213.44466666666668,G9,Yes,9.3,100
116.078,210.566,G9,Yes,9.3,106
84.836,206.58666666666667,G9,Yes,9.3,99
112.776,205.1473333333333,G9,Yes,9.3,107
108.458,198.7973333333333,G9,Yes,9.3,108
90.76266666666666,198.71266666666668,G9,Yes,9.3,98
101.00733333333334,195.834,G9,Yes,9.3,97
100.66866666666668,81.19533333333334,Электрод1,No,0.0,-1
99.48333333333332,210.73533333333333,Электрод2,No,9.3,-1
